Theta            Phi               dBi                 abs_theta              phase_theta      abs_phi                phase_phi         ax_ratio
 -15.000         -85.000            5.516e+00          -1.788e+01              78.961           5.496e+00              89.226           3.840e+01     
 -10.000         -85.000            5.724e+00          -1.685e+01              81.146           5.700e+00              87.369           4.000e+01     
  -5.000         -85.000            5.849e+00          -1.601e+01              82.501           5.820e+00              85.316           4.000e+01     
   0.000         -85.000            5.889e+00          -1.533e+01              83.254           5.857e+00              83.083           4.000e+01     
   5.000         -85.000            5.846e+00          -1.481e+01              83.565           5.809e+00              80.687           4.000e+01     
  10.000         -85.000            5.720e+00          -1.444e+01              83.546           5.678e+00              78.143           4.000e+01     
  15.000         -85.000            5.512e+00          -1.420e+01              83.285           5.465e+00              75.469           3.708e+01     
  20.000         -85.000            5.224e+00          -1.407e+01              82.843           5.172e+00              72.681           3.441e+01     
  25.000         -85.000            4.856e+00          -1.406e+01              82.270           4.800e+00              69.797           3.228e+01     
  30.000         -85.000            4.413e+00          -1.414e+01              81.600           4.352e+00              66.832           3.048e+01     
  35.000         -85.000            3.896e+00          -1.432e+01              80.860           3.830e+00              63.801           2.892e+01     
  40.000         -85.000            3.308e+00          -1.456e+01              80.067           3.236e+00              60.718           2.752e+01     
  45.000         -85.000            2.651e+00          -1.488e+01              79.231           2.573e+00              57.593           2.625e+01     
  50.000         -85.000            1.928e+00          -1.524e+01              78.356           1.844e+00              54.438           2.507e+01     
  55.000         -85.000            1.141e+00          -1.566e+01              77.441           1.050e+00              51.261           2.396e+01     
  60.000         -85.000            2.932e-01          -1.610e+01              76.480           1.924e-01              48.066           2.290e+01     
  65.000         -85.000           -6.161e-01          -1.656e+01              75.462          -7.280e-01              44.856           2.186e+01     
  70.000         -85.000           -1.588e+00          -1.703e+01              74.377          -1.713e+00              41.629           2.084e+01     
  75.000         -85.000           -2.625e+00          -1.751e+01              73.210          -2.769e+00              38.374           1.980e+01     
  80.000         -85.000           -3.737e+00          -1.797e+01              71.948          -3.904e+00              35.070           1.872e+01     
  85.000         -85.000           -4.938e+00          -1.841e+01              70.577          -5.137e+00              31.672           1.756e+01     
  90.000         -85.000           -6.250e+00          -1.883e+01              69.085          -6.496e+00              28.100           1.629e+01     
  95.000         -85.000           -7.709e+00          -1.922e+01              67.466          -8.027e+00              24.200           1.483e+01     
 100.000         -85.000           -9.366e+00          -1.958e+01              65.715          -9.801e+00              19.672           1.309e+01     
 105.000         -85.000           -1.129e+01          -1.990e+01              63.835          -1.193e+01              13.869           1.089e+01     
 110.000         -85.000           -1.355e+01          -2.019e+01              61.839          -1.461e+01               5.234           7.985e+00     
 115.000         -85.000           -1.606e+01          -2.044e+01              59.752          -1.804e+01             349.378           3.901e+00     
 120.000         -85.000           -1.801e+01          -2.066e+01              57.612          -2.140e+01             314.788           2.097e+00     
 125.000         -85.000           -1.760e+01          -2.086e+01              55.470          -2.037e+01             267.525           1.085e+01     
 130.000         -85.000           -1.532e+01          -2.103e+01              53.389          -1.668e+01             242.163           2.336e+01     
 135.000         -85.000           -1.288e+01          -2.120e+01              51.436          -1.357e+01             230.932           4.000e+01     
 140.000         -85.000           -1.080e+01          -2.137e+01              49.676          -1.120e+01             225.208           3.314e+01     
 145.000         -85.000           -9.108e+00          -2.157e+01              48.159          -9.362e+00             222.024           3.213e+01     
 150.000         -85.000           -7.737e+00          -2.180e+01              46.913          -7.911e+00             220.247           3.294e+01     
 155.000         -85.000           -6.635e+00          -2.210e+01              45.944          -6.760e+00             219.365           3.441e+01     
 160.000         -85.000           -5.763e+00          -2.249e+01              45.226          -5.857e+00             219.111           3.627e+01     
 165.000         -85.000           -5.097e+00          -2.299e+01              44.699          -5.168e+00             219.331           3.854e+01     
 170.000         -85.000           -4.620e+00          -2.362e+01              44.267          -4.675e+00             219.928           4.000e+01     
 175.000         -85.000           -4.322e+00          -2.443e+01              43.782          -4.364e+00             220.833           4.000e+01     
-180.000         -80.000           -4.197e+00          -1.944e+01              42.506          -4.329e+00             221.992           4.000e+01     
-175.000         -80.000           -4.222e+00          -2.003e+01              43.818          -4.337e+00             224.661           4.000e+01     
-170.000         -80.000           -4.443e+00          -2.084e+01              44.785          -4.543e+00             227.466           4.000e+01     
-165.000         -80.000           -4.867e+00          -2.189e+01              45.129          -4.954e+00             230.358           3.791e+01     
-160.000         -80.000           -5.506e+00          -2.322e+01              44.414          -5.580e+00             233.282           3.403e+01     
-155.000         -80.000           -6.380e+00          -2.486e+01              41.908          -6.442e+00             236.159           3.071e+01     
-150.000         -80.000           -7.524e+00          -2.682e+01              36.329          -7.575e+00             238.871           2.766e+01     
-145.000         -80.000           -8.991e+00          -2.891e+01              25.617          -9.035e+00             241.220           2.463e+01     
-140.000         -80.000           -1.088e+01          -3.055e+01               8.087          -1.092e+01             242.826           2.142e+01     
-135.000         -80.000           -1.335e+01          -3.084e+01             347.192          -1.343e+01             242.833           1.769e+01     
-130.000         -80.000           -1.672e+01          -2.986e+01             330.881          -1.694e+01             238.770           1.293e+01     
-125.000         -80.000           -2.119e+01          -2.853e+01             321.655          -2.207e+01             220.470           6.714e+00     
-120.000         -80.000           -2.269e+01          -2.735e+01             317.592          -2.451e+01             160.077           1.452e+01     
-115.000         -80.000           -1.842e+01          -2.646e+01             316.750          -1.916e+01             123.904           2.178e+01     
-110.000         -80.000           -1.463e+01          -2.585e+01             317.959          -1.497e+01             115.114           1.969e+01     
-105.000         -80.000           -1.184e+01          -2.551e+01             320.623          -1.203e+01             113.022           2.047e+01     
-100.000         -80.000           -9.660e+00          -2.540e+01             324.472          -9.777e+00             113.071           2.146e+01     
 -95.000         -80.000           -7.872e+00          -2.552e+01             329.483          -7.947e+00             113.907           2.238e+01     
 -90.000         -80.000           -6.338e+00          -2.586e+01             335.872          -6.387e+00             114.987           2.321e+01     
 -85.000         -80.000           -4.980e+00          -2.639e+01             344.171          -5.012e+00             116.043           2.397e+01     
 -80.000         -80.000           -3.750e+00          -2.706e+01             355.324          -3.771e+00             116.926           2.470e+01     
 -75.000         -80.000           -2.619e+00          -2.766e+01              10.550          -2.632e+00             117.544           2.542e+01     
 -70.000         -80.000           -1.567e+00          -2.772e+01              30.105          -1.577e+00             117.837           2.615e+01     
 -65.000         -80.000           -5.843e-01          -2.676e+01              50.983          -5.948e-01             117.769           2.690e+01     
 -60.000         -80.000            3.329e-01          -2.490e+01              68.415           3.199e-01             117.318           2.769e+01     
 -55.000         -80.000            1.187e+00          -2.268e+01              80.577           1.169e+00             116.470           2.851e+01     
 -50.000         -80.000            1.978e+00          -2.049e+01              88.334           1.953e+00             115.221           2.938e+01     
 -45.000         -80.000            2.703e+00          -1.849e+01              92.989           2.670e+00             113.575           3.030e+01     
 -40.000         -80.000            3.359e+00          -1.671e+01              95.507           3.317e+00             111.537           3.128e+01     
 -35.000         -80.000            3.945e+00          -1.515e+01              96.508           3.892e+00             109.119           3.236e+01     
 -30.000         -80.000            4.458e+00          -1.380e+01              96.396           4.392e+00             106.333           3.358e+01     
 -25.000         -80.000            4.894e+00          -1.264e+01              95.437           4.817e+00             103.198           3.500e+01     
